# Work, school, money, legal help, IDs, veterans, disability and seniors in the 71 places added on 2026-09-24
# (every city and township a DDOT or SMART bus reaches: 24 in Wayne, 32 in Oakland, 15 in Macomb). Batch `work-money-legal`.
# Categories: jobs.find, jobs.training, learn.school, learn.english, money.tax, money.benefits, legal, legal.immigration,
# ids, veterans, disability, seniors. (ids.mail: nothing found; see the end of this file.)
# Method: read on each organization's own site (or its own page on its city's, county's or the State's official site)
# on 2026-09-24, with a page reader that sends the same user agent as `pnpm check:sources` and extracts the page text the
# same way; WebFetch or a browser only where a site refuses scripts (those lines carry a `# BROWSER:` comment). Web search
# was used only to find sites, and ran out part way (session budget); after that, pages were found by following links
# from owners' home pages and reading their sitemaps. No fact comes from a search snippet or a directory.
# Every line (except the BROWSER ones) was checked the way check:sources will: the source_url page shows the phone
# (and phone2) and the street address. Rows with no phone show their house number and street on the source page.
# "Free" appears only where the owner's page says free / no cost. No staff names, no emails.
# Flags use `appointment_required` (docs/03), not `appointment`.
# Per-line notes for the steward are `# note:` lines directly above the line they concern.
# name | org | category | what | address | city | zip | phone | website | schedule | eligibility | source_url | extras

# ======== jobs ========
# Help finding a job (jobs.find) and free job training (jobs.training) in the 71 places added on 2026-09-24.
# Read on each organization's own site (or its own page on its county's site) on 2026-09-24, with the project's
# page reader (the same fetch pnpm check:sources uses) and, where a site refuses scripts, WebFetch. Web search was used
# only to find sites; no fact comes from a search snippet or a directory.
# Notes for the steward:
# - Oakland County Michigan Works! runs its centers through partners: Goodwill of Greater Detroit runs Pontiac and
#   Novi (goodwilldetroit.org), the Troy School District runs Troy, Gesher Human Services runs Waterford. The county's
#   own page (oaklandcountymi.gov/business/workforce-development/about) lists Novi, Oak Park, Pontiac, Troy and
#   Waterford, says the services are free, and lists "Tuition Assistance for Education/Training".
# - NOT listed on purpose: Oak Park (22180 Parklawn) — the county page says "*Closing September 25, 2026". Southfield
#   (21415 Civic Center Dr) closed June 30, 2026; the county says a new center for southern Oakland County "will open in
#   early Fall 2026". Add it when the county names the address.
# - SEMCA Michigan Works! (semcamiworks.org) refuses scripts (403). Its Wayne and Wyandotte centers are sourced from
#   the Downriver Community Conference's pages (dccwf.org), which operates them and which scripts can read. SEMCA's own
#   page (read with WebFetch) gives the Wyandotte center's phone as 734.362.3466; DCC's pages give 734-362-7070 and
#   say "please call 734-362-7070". We list DCC's number. SEMCA's Livonia and Southgate centers are gone (Southgate
#   moved to Wyandotte).
# - Macomb/St. Clair Michigan Works! centers print "Hours 8am - 5pm (Excluding Holidays)" with no days, so they arrive
#   call-first. The Port Huron center is outside the area.
# - Not repeated here because another file in this batch already has them: Chaldean Community Foundation job help,
#   Sterling Heights (part-learn.txt) and STEP Western Wayne job coaching, Westland (part-vd.txt).
Michigan Works! Novi service center | Oakland County Michigan Works! | jobs.find | Free help finding a job: computers, job search tools, workshops on resumes and interviews, job fairs and career coaching. Help with an unemployment claim. Some programs can help pay for training. | 31186 Beck Road | Novi | 48377 | (248) 926-1820 | https://www.oaklandcountymi.gov/business/workforce-development | Mon-Fri 8am-5pm | Open to everyone. Some programs have rules about who can join. For same-day help with an unemployment claim, come by 3:30pm. | https://www.goodwilldetroit.org/career-centers/michigan-works-novi/ |
#   that branch. Hours: the FAQ page's standard hours; it adds that some offices close for lunch or open fewer days,
#   so every row is call-first. No ZIPs: the releases print none.
Secretary of State office, Taylor | Michigan Department of State | ids | Get or renew a state ID or driver's license. You can schedule a visit online or by phone. | 21572 Ecorse Rd. | Taylor | | 888-767-6424 | https://www.michigan.gov/sos | Most offices: Mon, Tue, Thu, Fri 9am-5pm and Wed 11am-7pm. On the first Thursday of the month they open at 10am. Call first or schedule a visit. | | https://www.michigan.gov/sos/resources/news/2026/09/22/trenton-secretary-of-state-office-to-close-for-one-week-for-move-to-new-location | phone_label=Secretary of State (one number for all offices)
Secretary of State office, Inkster | Michigan Department of State | ids | Get or renew a state ID or driver's license. You can schedule a visit online or by phone. | 26603 Michigan Ave. | Inkster | | 888-767-6424 | https://www.michigan.gov/sos | Most offices: Mon, Tue, Thu, Fri 9am-5pm and Wed 11am-7pm. On the first Thursday of the month they open at 10am. Call first or schedule a visit. | | https://www.michigan.gov/sos/resources/news/2025/09/29/secretary-of-state-office-in-taylor-to-close-for-two-weeks-for-remodeling-project | phone_label=Secretary of State (one number for all offices)
# note: Trenton's office moves on 2026-10-05 from 3040 Van Horn Rd. to 3575 West Rd. (closed Sept. 28 - Oct. 2). The release
#   says Trenton office; it does not name the new site's city, so check it is Trenton, not Woodhaven. check:sources can't
#   test '3575 West Rd.' (its street key skips 'West' as a direction and 'Rd' as too short), so it matches the phone only.
Secretary of State office, Trenton | Michigan Department of State | ids | Get or renew a state ID or driver's license. You can schedule a visit online or by phone. | 3575 West Rd. | Trenton | | 888-767-6424 | https://www.michigan.gov/sos | Most offices: Mon, Tue, Thu, Fri 9am-5pm and Wed 11am-7pm. On the first Thursday of the month they open at 10am. Call first or schedule a visit. | | https://www.michigan.gov/sos/resources/news/2026/09/22/trenton-secretary-of-state-office-to-close-for-one-week-for-move-to-new-location | phone_label=Secretary of State (one number for all offices); notice=This office is moving. It is closed Sept. 28 to Oct. 2, 2026, and opens at 3575 West Rd. on Oct. 5.
Secretary of State office, Westland | Michigan Department of State | ids | Get or renew a state ID or driver's license. You can schedule a visit online or by phone. | 6090 N. Wayne Rd. | Westland | | 888-767-6424 | https://www.michigan.gov/sos | Most offices: Mon, Tue, Thu, Fri 9am-5pm and Wed 11am-7pm. On the first Thursday of the month they open at 10am. Call first or schedule a visit. | | https://www.michigan.gov/sos/resources/news/2025/08/25/secretary-of-state-office-in-belleville-to-close-for-two-weeks-for-remodeling-project | phone_label=Secretary of State (one number for all offices)
Secretary of State office, Livonia | Michigan Department of State | ids | Get or renew a state ID or driver's license. You can schedule a visit online or by phone. | 17176 Farmington Rd. | Livonia | | 888-767-6424 | https://www.michigan.gov/sos | Most offices: Mon, Tue, Thu, Fri 9am-5pm and Wed 11am-7pm. On the first Thursday of the month they open at 10am. Call first or schedule a visit. | | https://www.michigan.gov/sos/resources/news/2025/01/28/secretary-of-state-office-in-canton-to-close-feb-3-to-14-for-remodeling-project | phone_label=Secretary of State (one number for all offices)
# note: Redford's only release is from January 2023.
Secretary of State office, Redford | Michigan Department of State | ids | Get or renew a state ID or driver's license. You can schedule a visit online or by phone. | 25700 Joy Rd. | Redford Township | | 888-767-6424 | https://www.michigan.gov/sos | Most offices: Mon, Tue, Thu, Fri 9am-5pm and Wed 11am-7pm. On the first Thursday of the month they open at 10am. Call first or schedule a visit. | | https://www.michigan.gov/sos/resources/news/2023/01/23/redford-township-secretary-of-state-to-close-for-remodeling-jan-30 | phone_label=Secretary of State (one number for all offices)
Secretary of State office, Eastpointe | Michigan Department of State | ids | Get or renew a state ID or driver's license. You can schedule a visit online or by phone. | 18809 E 9 Mile Rd. | Eastpointe | | 888-767-6424 | https://www.michigan.gov/sos | Most offices: Mon, Tue, Thu, Fri 9am-5pm and Wed 11am-7pm. On the first Thursday of the month they open at 10am. Call first or schedule a visit. | | https://www.michigan.gov/sos/resources/news/2025/10/20/secretary-of-state-office-in-detroit-to-close-for-three-weeks-for-remodeling-project | phone_label=Secretary of State (one number for all offices)
Secretary of State office, Warren | Michigan Department of State | ids | Get or renew a state ID or driver's license. You can schedule a visit online or by phone. | 11533 Twelve Mile Rd. | Warren | | 888-767-6424 | https://www.michigan.gov/sos | Most offices: Mon, Tue, Thu, Fri 9am-5pm and Wed 11am-7pm. On the first Thursday of the month they open at 10am. Call first or schedule a visit. | | https://www.michigan.gov/sos/resources/news/2024/09/20/secretary-of-state-office-in-warren-to-close-for-remodeling-project-until-oct-14 | phone_label=Secretary of State (one number for all offices)
Secretary of State office, Hazel Park | Michigan Department of State | ids | Get or renew a state ID or driver's license. You can schedule a visit online or by phone. | 20809 Dequindre Rd. | Hazel Park | | 888-767-6424 | https://www.michigan.gov/sos | Most offices: Mon, Tue, Thu, Fri 9am-5pm and Wed 11am-7pm. On the first Thursday of the month they open at 10am. Call first or schedule a visit. | | https://www.michigan.gov/sos/resources/news/2024/09/20/secretary-of-state-office-in-warren-to-close-for-remodeling-project-until-oct-14 | phone_label=Secretary of State (one number for all offices)
Secretary of State office, Pontiac | Michigan Department of State | ids | Get or renew a state ID or driver's license. You can schedule a visit online or by phone. | 1270 Pontiac Road | Pontiac | | 888-767-6424 | https://www.michigan.gov/sos | Most offices: Mon, Tue, Thu, Fri 9am-5pm and Wed 11am-7pm. On the first Thursday of the month they open at 10am. Call first or schedule a visit. | | https://www.michigan.gov/sos/resources/news/2026/05/14/secretary-of-state-office-in-pontiac-to-close-may-21-to-june-5-for-remodeling-project | phone_label=Secretary of State (one number for all offices)
Secretary of State office, Troy | Michigan Department of State | ids | Get or renew a state ID or driver's license. You can schedule a visit online or by phone. | 1111 E. Long Lake Rd. | Troy | | 888-767-6424 | https://www.michigan.gov/sos | Most offices: Mon, Tue, Thu, Fri 9am-5pm and Wed 11am-7pm. On the first Thursday of the month they open at 10am. Call first or schedule a visit. | | https://www.michigan.gov/sos/resources/news/2024/10/14/secretary-of-state-office-in-troy-to-close-for-remodeling-project-until-nov-4 | phone_label=Secretary of State (one number for all offices)
Secretary of State office, Rochester Hills | Michigan Department of State | ids | Get or renew a state ID or driver's license. You can schedule a visit online or by phone. | 2250 Crooks Rd. | Rochester Hills | | 888-767-6424 | https://www.michigan.gov/sos | Most offices: Mon, Tue, Thu, Fri 9am-5pm and Wed 11am-7pm. On the first Thursday of the month they open at 10am. Call first or schedule a visit. | | https://www.michigan.gov/sos/resources/news/2024/10/14/secretary-of-state-office-in-troy-to-close-for-remodeling-project-until-nov-4 | phone_label=Secretary of State (one number for all offices)
Secretary of State office, Sterling Heights | Michigan Department of State | ids | Get or renew a state ID or driver's license. You can schedule a visit online or by phone. | 7917 19 Mile Rd. | Sterling Heights | | 888-767-6424 | https://www.michigan.gov/sos | Most offices: Mon, Tue, Thu, Fri 9am-5pm and Wed 11am-7pm. On the first Thursday of the month they open at 10am. Call first or schedule a visit. | | https://www.michigan.gov/sos/resources/news/2024/10/14/secretary-of-state-office-in-troy-to-close-for-remodeling-project-until-nov-4 | phone_label=Secretary of State (one number for all offices)
Secretary of State office, Chesterfield Township | Michigan Department of State | ids | Get or renew a state ID or driver's license. You can schedule a visit online or by phone. | 51364 Gratiot Ave. | Chesterfield Township | | 888-767-6424 | https://www.michigan.gov/sos | Most offices: Mon, Tue, Thu, Fri 9am-5pm and Wed 11am-7pm. On the first Thursday of the month they open at 10am. Call first or schedule a visit. | | https://www.michigan.gov/sos/resources/news/2024/06/18/chesterfield-township-secretary-of-state-office-closed-june-24-to-28 | phone_label=Secretary of State (one number for all offices)
Secretary of State office, Clinton Township | Michigan Department of State | ids | Get or renew a state ID or driver's license. You can schedule a visit online or by phone. | 37015 S. Gratiot Ave. | Clinton Township | | 888-767-6424 | https://www.michigan.gov/sos | Most offices: Mon, Tue, Thu, Fri 9am-5pm and Wed 11am-7pm. On the first Thursday of the month they open at 10am. Call first or schedule a visit. | | https://www.michigan.gov/sos/resources/news/2023/07/17/secretary-of-state-office-in-clinton-township-closed-for-remodeling-until-july-31 | phone_label=Secretary of State (one number for all offices)
Secretary of State office, Shelby Township | Michigan Department of State | ids | Get or renew a state ID or driver's license. You can schedule a visit online or by phone. | 50640 Schoenherr Rd. | Shelby Township | | 888-767-6424 | https://www.michigan.gov/sos | Most offices: Mon, Tue, Thu, Fri 9am-5pm and Wed 11am-7pm. On the first Thursday of the month they open at 10am. Call first or schedule a visit. | | https://www.michigan.gov/sos/resources/news/2024/05/03/romeo-secretary-of-state-office-closed-may-13-to17-during-move-to-new-location | phone_label=Secretary of State (one number for all offices)
# --- ids: birth certificates at the county clerk ---
Birth certificates, Oakland County Clerk | Oakland County Clerk/Register of Deeds | ids | Get a certified copy of a birth certificate for a birth in Oakland County. In person you get it the same day. $15 for the first copy. | 1200 North Telegraph Road | Pontiac | 48341 | 248-858-0571 | https://www.oaklandcountymi.gov | The page says the Pontiac office is open Monday - Friday, 8:00 am - 4:30 pm with no appointment (another line says 8:30am). Call first. | Only the person on the record or a parent named on it (others need papers). Bring a driver's license, state ID or passport. Births in Oakland County only. | https://www.oaklandcountymi.gov/government/clerk-register-of-deeds/life-events-services/birth-records | flags=walk_in; phone_label=Vital Records
Birth certificates, Macomb County Clerk | Macomb County Clerk/Register of Deeds | ids | Get a certified copy of a birth certificate for a birth in Macomb County. $15 for one copy. Make an appointment to come in. | 120 N Main Street | Mount Clemens | 48043 | 586-469-5205 | https://www.macombgov.org | Call first | Only the person on the record, a parent named on it, a guardian, or an heir with papers. Bring a photo ID, or three pieces of ID with one photo ID. Births in Macomb County only. | https://www.macombgov.org/departments/clerk-register-deeds/birth-records | flags=appointment_required; phone_label=Birth Records

# ======== vd ========
# Veterans and disability help in the widened area (Wayne suburbs, Oakland, Macomb), 2026-09-24.
# Each row was read on the organization's own site (or its own page on its county's or the State's official site) on
# 2026-09-24 with the project's own page reader (rd.mts, as check:sources reads it); search was used only to find sites.
# Notes for a steward:
# - Oakland County Veterans' Services: the home page gives the hours as "8:30 am - 11:30 am 1:00 pm - 4:30 pm" with no
#   days named, so both offices arrive Call first. The appointments page says they try to see people by appointment only.
# - Macomb County Veterans Services: most services need an appointment (in person, virtual, drop-off or phone). The
#   Vietnam Veterans Chapter 154 hall is listed on the county's own department page as a walk-in place, Tue-Fri 9am-2pm.
# - Wayne County Veterans Services' Garden City satellite: the page says Tuesdays and Thursdays inside the Radcliff
#   Community Center, with no times, so it arrives Call first. The Detroit office (400 Monroe) is already listed.
# - Michigan Rehabilitation Services (MRS): michigan.gov's MRS Office Locator draws its offices live from the State's
#   own GIS service (the page embeds gisp.mcgi.state.mi.us/.../LEO/MI_Rehabilitation_Services/MapServer). There is no
#   other State page that prints each office's phone and street, so each row's source_url is that service's own
#   one-office query page. Please confirm this is acceptable as an owner page. No hours are published: Call first.
#   The Pontiac office is "co-located with Michigan Works!" at 1850 Perry St per that data; an older State page seen only
#   in a search snippet gave 51111 Woodward Ave, Suite 4D, so a person may want to ring 248-972-9170 to confirm.
#   Category: the lead asked for `disability`; note that the Detroit BSBP job-help row and the STEP rows use
#   `jobs.find` with flags=disability. Switch these six to match if preferred.
# - STEP Western Wayne Resource Center (Westland) is written as jobs.find + flags=disability to match its three
#   already-listed sibling rows (Detroit, Dearborn North, Dearborn South).
# - Deaf C.A.N.! (Sylvan Lake): a Deaf and hard-of-hearing services agency. It also runs a program (PAH!) for Deaf
#   survivors of domestic violence and sexual assault; this row lists only its general Deaf services and says nothing
#   about that program. A steward should decide whether the office address may stand under the DV no-address rule
#   (it is not a DV organization; DV is one of many programs).
# - The Arc Grosse Pointe-Harper Woods: its site gives 20475 Sunningdale Park, Grosse Pointe Woods, which reads like a
#   residential street (a volunteer chapter). Written phone-only on purpose so no pin sends anyone to a house.
# - Disability Network Eastern Michigan (formerly Disability Network Oakland & Macomb): the veterans housing program
#   (SSVF) page names no office, so it is written phone-only with the organization's main number.
# - The Arc Downriver (Wyandotte): downriverarc.org answers scripts with 403; read with WebFetch. Address and phone
#   also agree with The Arc Michigan's chapter list (arcmi.org/find-your-local-arc/).
# - The Arc of Western Wayne County closes Good Friday and Dec 24-31 as well as the federal holidays.
Oakland County Veterans' Services, Pontiac office | Oakland County Veterans' Services | veterans | Benefits counselors help veterans and their families file VA claims or appeal a "no." Call or book online for an appointment. | 1200 N. Telegraph Rd Building 26E | Pontiac | 48341 | 248-858-0785 | https://www.oakgov.com/government/veterans | Call first | Oakland County veterans, their survivors and dependents. | https://www.oaklandcountymi.gov/government/veterans/benefits-services/appointments | flags=appointment_required
Oakland County Veterans' Services, Troy office | Oakland County Veterans' Services | veterans | Benefits counselors help veterans and their families file VA claims or appeal a "no." Call or book online for an appointment. | 1151 Crooks Road Entrance B | Troy | 48084 | 248-655-1250 | https://www.oakgov.com/government/veterans | Call first | Oakland County veterans, their survivors and dependents. | https://www.oaklandcountymi.gov/government/veterans/benefits-services/appointments | flags=appointment_required
Macomb County Veterans Services | Macomb County Veterans Services | veterans | Help for veterans and their families with VA benefits and resources. Also emergency grants for rent, mortgage, utilities and repairs for those who qualify. Most help needs an appointment: in person, video, drop-off or phone. | 21885 Dunham Suite 3 | Clinton Township | 48036 | 586-469-5315 | https://www.macombgov.org/departments/veterans-services | Mon-Fri 8:30am-5pm | Veterans and family members who live in Macomb County. | https://www.macombgov.org/departments/veterans-services | flags=appointment_required
Walk-in veterans benefits help at Vietnam Veterans Chapter 154 | Macomb County Veterans Services | veterans | Walk in for help with veterans benefits. One of Macomb County Veterans Services' places to get help, at the Vietnam Veterans Chapter 154 hall. | 18025 15 Mile Road | Clinton Township | 48035 | 586-776-9810 | https://www.macombgov.org/departments/veterans-services | Tue-Fri 9am-2pm | Veterans and family members who live in Macomb County. | https://www.macombgov.org/departments/veterans-services | flags=walk_in
Wayne County veterans help, Garden City satellite office | Wayne County Veterans Services | veterans | Help for veterans and their families with food, rent, a mortgage, utilities, property taxes, moving costs, furniture, home repairs, car repairs and burial costs. Inside the Radcliff Community Center on Tuesdays and Thursdays. | 1751 Radcliff St. | Garden City | 48135 | (313) 224-5045 | https://www.waynecountymi.gov | Tuesdays and Thursdays. Their page gives no times. Call first. | Veterans in Wayne County and their family members. | https://www.waynecountymi.gov/Services/Health-Wellness/Veteran-Services |
Pontiac Vet Center | U.S. Department of Veterans Affairs | veterans | Free, private counseling for veterans, service members and their families, in a place that is not a clinic. Help with PTSD, depression, and military sexual trauma. Many services are walk-in. | 44200 Woodward Avenue Suite 108 | Pontiac | 48341 | 248-874-1015 | https://www.va.gov/pontiac-vet-center/ | Mon-Fri 8am-4:30pm | Veterans and service members (including Guard and Reserve) and their families. You do not need to be in VA health care, and any discharge status can qualify. | https://www.va.gov/pontiac-vet-center/ | flags=walk_in
Macomb County Vet Center | U.S. Department of Veterans Affairs | veterans | Free, private counseling for veterans, service members and their families, in a place that is not a clinic. Help with PTSD, depression, and military sexual trauma. Many services are walk-in. | 42621 Garfield Road Suite 105 | Clinton Township | 48038 | 586-412-0107 | https://www.va.gov/macomb-county-vet-center/ | Mon-Fri 8am-4:30pm | Veterans and service members (including Guard and Reserve) and their families. You do not need to be in VA health care, and any discharge status can qualify. | https://www.va.gov/macomb-county-vet-center/ | flags=walk_in
Help for veterans at risk of losing housing (SSVF), Disability Network Eastern Michigan | Disability Network Eastern Michigan | veterans | Housing help for veterans who are homeless or about to be. | | | | (586) 268-4160 | https://www.dnemichigan.org/ | Call first | Veterans who are homeless or about to be, with low income, at least one day of active service, and a discharge that is not dishonorable. | https://www.dnemichigan.org/consumer/veteran-services |
Disability Network Eastern Michigan, Troy office | Disability Network Eastern Michigan | disability | A center for independent living. Help for people with disabilities to live on their own: advocacy, life skills, peer support, information and referral, and help leaving a nursing home. Call for an appointment. | 1709 John R Rd. | Troy | 48083 | (586) 268-4160 | https://www.dnemichigan.org/ | Mon-Fri 8am-4pm | People with disabilities in Oakland, Macomb and nearby counties. | https://www.dnemichigan.org/stay-connected | flags=appointment_required
Disability Network Eastern Michigan, Clinton Township office | Disability Network Eastern Michigan | disability | A center for independent living. Help for people with disabilities to live on their own: advocacy, life skills, peer support, information and referral, and help leaving a nursing home. By appointment only. | 16655 15 Mile Rd. Suite B | Clinton Township | 48035 | (586) 268-4160 | https://www.dnemichigan.org/ | Weekdays by appointment only. Call first. | People with disabilities in Oakland, Macomb and nearby counties. | https://www.dnemichigan.org/stay-connected | flags=appointment_required
MRS Taylor office, job help for people with disabilities | Michigan Rehabilitation Services | disability | The State's job program for people with disabilities: counselors help you get ready for, find and keep a job. Apply online or at the office. | 20500 Eureka Road, Suite 210 | Taylor | 48180 | 734-285-2707 | https://www.michigan.gov/leo/bureaus-agencies/mrs | Call first | Michigan residents with a disability who want to work. | https://gisp.mcgi.state.mi.us/arcgis/rest/services/LEO/MI_Rehabilitation_Services/MapServer/0/query?where=ID%3D2&outFields=SITE,PHONE,ADDRESS&returnGeometry=false&f=html |
MRS Wayne office, job help for people with disabilities | Michigan Rehabilitation Services | disability | The State's job program for people with disabilities: counselors help you get ready for, find and keep a job. Apply online or at the office. | 35731 W. Michigan Avenue, Suite 140 | Wayne | 48184 | 734-722-7431 | https://www.michigan.gov/leo/bureaus-agencies/mrs | Call first | Michigan residents with a disability who want to work. | https://gisp.mcgi.state.mi.us/arcgis/rest/services/LEO/MI_Rehabilitation_Services/MapServer/0/query?where=ID%3D3&outFields=SITE,PHONE,ADDRESS&returnGeometry=false&f=html |
MRS Livonia office, job help for people with disabilities | Michigan Rehabilitation Services | disability | The State's job program for people with disabilities: counselors help you get ready for, find and keep a job. Apply online or at the office. | 30246 Plymouth Road, Suite B | Livonia | 48150 | 734-524-2424 | https://www.michigan.gov/leo/bureaus-agencies/mrs | Call first | Michigan residents with a disability who want to work. | https://gisp.mcgi.state.mi.us/arcgis/rest/services/LEO/MI_Rehabilitation_Services/MapServer/0/query?where=ID%3D4&outFields=SITE,PHONE,ADDRESS&returnGeometry=false&f=html |
MRS Oak Park office, job help for people with disabilities | Michigan Rehabilitation Services | disability | The State's job program for people with disabilities: counselors help you get ready for, find and keep a job. Apply online or at the office. | 25900 Greenfield, Suite 430 | Oak Park | 48237 | 248-968-5003 | https://www.michigan.gov/leo/bureaus-agencies/mrs | Call first | Michigan residents with a disability who want to work. | https://gisp.mcgi.state.mi.us/arcgis/rest/services/LEO/MI_Rehabilitation_Services/MapServer/0/query?where=ID%3D5&outFields=SITE,PHONE,ADDRESS&returnGeometry=false&f=html |
MRS Pontiac office, job help for people with disabilities | Michigan Rehabilitation Services | disability | The State's job program for people with disabilities: counselors help you get ready for, find and keep a job. In the same building as Michigan Works! | 1850 Perry St | Pontiac | 48342 | 248-972-9170 | https://www.michigan.gov/leo/bureaus-agencies/mrs | Call first | Michigan residents with a disability who want to work. | https://gisp.mcgi.state.mi.us/arcgis/rest/services/LEO/MI_Rehabilitation_Services/MapServer/0/query?where=ID%3D6&outFields=SITE,PHONE,ADDRESS&returnGeometry=false&f=html |
MRS Macomb office, job help for people with disabilities | Michigan Rehabilitation Services | disability | The State's job program for people with disabilities: counselors help you get ready for, find and keep a job. Apply online or at the office. | 43630 Hayes Road, Suite 120 | Clinton Township | 48038 | 586-412-1510 | https://www.michigan.gov/leo/bureaus-agencies/mrs | Call first | Michigan residents with a disability who want to work. | https://gisp.mcgi.state.mi.us/arcgis/rest/services/LEO/MI_Rehabilitation_Services/MapServer/0/query?where=ID%3D11&outFields=SITE,PHONE,ADDRESS&returnGeometry=false&f=html |
Western Wayne job coaching for people with disabilities | Services To Enhance Potential (STEP) | jobs.find | Help getting and keeping a job with a job coach, job placement, and coaching on how work affects your benefits. | 450 S. Venoy | Westland | 48186 | (734) 722-1000 | https://stepcentral.org | Call first | People with disabilities or mental health needs in Wayne County. | https://stepcentral.org/ | flags=disability; phone_label=Western Wayne Resource Center; phone2=313-900-5057; phone2_label=Intake
The Arc of Oakland County | The Arc of Oakland County | disability | Advocates help children and adults with intellectual and developmental disabilities and their families: SSI and SSDI benefits, special education, guardianship, housing options and more. Drop-in hours at the Advocacy Resource Center; call for other times. | 1641 W. Big Beaver Road | Troy | 48084 | 248.816.1900 | https://www.thearcoakland.org/ | Mon-Thu 9am-5pm; Fri 9am-4pm | People with intellectual or developmental disabilities and their families in Oakland County. | https://www.thearcoakland.org/contact-us/ |
The Arc of Western Wayne County | The Arc of Western Wayne County | disability | Advocates help people with intellectual and developmental disabilities and their families: Social Security, Medicaid, mental health services, special education, and other choices besides guardianship. A free phone helpline too. | 2257 South Wayne Road | Westland | 48186 | 734.729.9100 | https://thearcww.org/ | Mon-Fri 8:30am-4:30pm | People with intellectual or developmental disabilities and their families. The chapter covers Wayne, Westland, Inkster, Belleville, Romulus and Van Buren Township. | https://thearcww.org/contact-us/ | phone_label=Office; phone2=888-929-9444; phone2_label=Take Charge Helpline (free, automated); phone2_source_url=https://thearcww.org/helpline/
The Arc of Macomb County | The Arc of Macomb County | disability | Advocates help people with intellectual and developmental disabilities and their families: applying for Social Security, Medicaid, Medicare, food help and Adult Home Help; guardianship choices; housing; special education. | 44050 N Gratiot Ave | Clinton Township | 48036 | 586-469-1600 | https://arcservices.org/ | Call first | People with intellectual or developmental disabilities and their families. | https://arcservices.org/contactus/ |
# BROWSER: The Arc Downriver — site refuses scripts
The Arc Downriver | The Arc Downriver | disability | Advocacy and support for people with developmental disabilities or cognitive impairments and their families, plus sports programs. | 1028 Oak Street | Wyandotte | 48192 | 734-283-0710 | https://downriverarc.org/ | Mon-Fri 9am-2pm | People with developmental disabilities or cognitive impairments and their families. | https://downriverarc.org/contact-the-arc/ |
The Arc Grosse Pointe-Harper Woods | The Arc Grosse Pointe-Harper Woods | disability | Information, referral, support and advocacy for people with intellectual and developmental disabilities and their families: education, housing, jobs and family support. | | | | (586) 457-8588 | http://www.thearcgp-hw.org | Call first | People with intellectual or developmental disabilities and their families in Grosse Pointe and Harper Woods. | http://www.thearcgp-hw.org |
# HELD (lead, 2026-09-24): the organization also runs a program for survivors of domestic violence; CLAUDE.md allows no address of any kind for a DV organization. Held for Kyle.
# Deaf C.A.N.! help for Deaf and hard of hearing people | Deaf Community Advocacy Network (DEAF C.A.N.!) | disability | Help from staff who sign ASL, for Deaf and hard of hearing people: forms for benefits, budgets, finding low-income housing, hearing loss help, and equipment for people with both hearing and vision loss. | 2111 Orchard Lake Road #101 | Sylvan Lake | 48320 | (248) 332-3331 | https://www.deafcan.org/ | Call first | Deaf, DeafBlind and hard of hearing people and their families. | https://www.deafcan.org/contact-us.html | phone_label=Voice; phone2=(248) 209-6437; phone2_label=Videophone (VP)

# ======== sen-oak ========
# --- seniors: Oakland County senior centers + the Area Agency on Aging 1-B (now named AgeWays) ---
# Researched 2026-09-24. Every fact read on the owner's own page (the city's or township's own site, or the center's
# own site when it is a nonprofit) with the project's page reader (rd.mts, the same user agent as check:sources);
# no search engine was used (links followed from each city's home page). "Free" is written only where the page says so.
# note: Area Agency on Aging 1-B now calls itself AgeWays (ageways.org; aaa1b.org answers with the same site). Its
#   office is no longer in Southfield: the contact page gives 31700 Middlebelt Rd., Suite 140, Farmington Hills.
#   The phone line is Mon-Fri 8am-5pm; the lobby is open Mon-Fri 10am-3pm and many services are by appointment.
Help for people 60 and older, Oakland County (AgeWays) | AgeWays (Area Agency on Aging 1-B) | seniors | One phone line for older adults, people with disabilities and caregivers: help finding services, Meals on Wheels, rides, in-home care, caregiver help and free help with Medicare. | 31700 Middlebelt Rd., Suite 140 | Farmington Hills | 48334 | (800) 852-7795 | https://www.ageways.org/ | Mon-Fri 8am-5pm | Older adults, people with disabilities and family caregivers in Livingston, Macomb, Monroe, Oakland, St. Clair and Washtenaw counties. Many services are by appointment; call before you visit. | https://www.ageways.org/about/contact-us/ | flags=seniors,disability; phone_label=Information and Assistance line
Senior center, Auburn Hills | City of Auburn Hills Senior Services | seniors | Programs for adults 55 and older at the Community Center: lunch five days a week, rides, loans of medical equipment, support groups and help with home upkeep. | 3350 E. Seyburn Drive | Auburn Hills | 48326 | 248-370-9353 | https://www.auburnhills.org/ | Call first | Most programs are for people 55 and older. Rides are for people 60 and older; Meals on Wheels for people 62 and older. | https://www.auburnhills.org/departments/senior-services/ | flags=seniors
# note: Next says it has a pending move to 400 E. Lincoln (the old YMCA building); its home page still gives 2121 Midvale.
