# Kids, goods and community help in the 71 new places (area widened 2026-09-24, DECISIONS).
# Categories: kids.care, kids.prek, youth, youth.advocacy, rec.center, connect, transport, pets, goods.clothes, goods.baby,
#   goods.home, goods.personal, assault. rec.library comes from the federal-library batch.
# Method: each fact read on the organization's own site (or its city/county's official page) with the pipeline's own
#   honest user agent or WebFetch on 2026-09-24; web search used only to find sites. Every line was run through the
#   importer's parser and the check:sources matcher by the researcher; # BROWSER lines are sites that refuse scripts.
# Combined by the lead from six researched parts. Per-line steward notes stay directly above their lines.

# ---- part: part-connect-transport-pets.txt ----
# NOTE: Hours printed twice on the page: the new hours (from July 13, 2026) close Sundays and Mondays; an older paragraph lower down still says "open Monday". We use the new hours. Free rabies shot is with the purchase of a dog license, Fridays 9am-noon.
Oakland County Animal Shelter | Oakland County Animal Shelter and Pet Adoption Center | pets | The county animal shelter: look for a lost pet, adopt a dog or cat, and buy a dog license. Free rabies shot for your dog when you buy its license, Fridays 9am to noon. Ask about help with end-of-life care for a pet. | 1200 North Telegraph Road, Building 42E | Pontiac | 48341 | 248-858-1070 | https://www.oakgov.com/community/pet-adoption | Tue 10am-7pm; Wed 10am-5pm; Thu 10am-7pm; Fri 10am-5pm; Sat 10am-4pm | | https://www.oakgov.com/community/pet-adoption | phone_label=Pet Adoption Center; phone2=248-858-1090; phone2_label=Animal Control
Free pre-K at Wayne RESA Early Childhood Center, Inkster | Wayne RESA | kids.prek | Free pre-K (Great Start Readiness Program) for 4-year-olds, five days a week. All incomes welcome. Buses for families who live in Inkster. | 29115 Carlysle St. | Inkster | 48141 | (734) 334-1600 | https://www.resa.net | Call first | All 4-year-olds who live in Michigan, any income. Kids with an IEP or other needs get places first. | https://www.resa.net/early-education/wayne-resa-early-childhood-center/ |
# NOTE: Livonia prints office hours 8am-4pm with no days, so it stays call-first. The page says sign-up for 2026-2027 is closed.
Free pre-K at Livonia Early Childhood Center | Livonia Public Schools | kids.prek | Free full-day pre-K (Great Start Readiness Program) for 4-year-olds, Monday to Thursday. Breakfast and lunch included. Buses for Livonia families. | 18000 Newburgh Rd | Livonia | 48152 | 734-744-2813 | https://www.livoniapublicschools.org | Office 8am-4pm (days not stated) | Children 4 by Sept. 1 who live in Wayne County (4 by Dec. 1 if there is room). Any 4-year-old can apply; children with more needs get places first. | https://lecc.livoniapublicschools.org/programs/gsrp | notice=Sign-up for the 2026-2027 school year is closed.
# NOTE: Stottlemyer: 'free to all Wayne-Westland Community School children who qualify' and the document list are on https://www.wwcsd.net/schools/pre-schools/stottlemyer-early-childhood-family-development-center/great-start-readiness-program/ (that page prints only the district office, 36745 Marquette, 734-419-2000). The building's own address, phone and office hours (Mon-Th 7:30-4:00) and the 2026-08-27 'reached capacity ... waiting list' post are on the source page.
Free pre-K at Stottlemyer Early Childhood Center | Wayne-Westland Community Schools | kids.prek | Free pre-K (Great Start Readiness Program) for 4-year-olds who qualify. | 34801 Marquette | Westland | 48185 | 734-419-2630 | https://www.wwcsd.net | Mon-Thu 7:30am-4pm | Wayne-Westland children who are 4 by Sept. 1 and qualify. Bring a birth certificate, shot record, physical, driver's license and last year's tax return. | https://www.wwcsd.net/schools/pre-schools/stottlemyer-early-childhood-family-development-center/ | notice=Classes are full for 2026-2027. The interest form puts your child on the waiting list.
Free pre-K at Allen Park Center for Early Childhood Education | Allen Park Public Schools | kids.prek | Free pre-K (Great Start Readiness Program) for 4-year-olds, 5 full days a week. | 9601 Vine | Allen Park | 48101 | 313-827-2660 | https://www.allenparkschools.com | Call first | Children who are 4 by Sept. 1 and qualify at an enrollment meeting. | https://preschool.allenparkschools.com/programs/great-start-to-readiness-program-gsrp |
# NOTE: Wyandotte: 'a free 4 year old preschool program for qualifying students' (GSRP) is on https://www.wyandotte.org/enrollment/preschool/ , which prints the phone but not the street address. The center's other classes (3-year-old preschool, child care, infant/toddler) charge tuition and are not listed.
Free pre-K at Wyandotte Early Childhood Center | Wyandotte Public Schools | kids.prek | Free pre-K (Great Start Readiness Program) for 4-year-olds who qualify. | 2609 10th St | Wyandotte | 48192 | 734-759-5700 | https://www.wyandotte.org | Call first | 4-year-olds who qualify. Call to ask about openings. | https://www.wyandotte.org/schools/early-childhood-center/ |
# NOTE: Johnson prints two numbers: 313-295-8362 ('For more information please call') and 313-295-5798 (footer 'Phone'). Its sign-up dates on the page are spring 2026 and it still says '4 years old by December 1st 2025'.
Free preschool at Johnson Early Childhood Center, Taylor | Taylor School District | kids.prek | Free full-day preschool for 4-year-olds, 4 days a week. All incomes can sign up. Free breakfast and lunch. | 20701 Wohlfeil | Taylor | 48180 | 313-295-8362 | https://www.taylorschools.net | Call first | Children 4 years old by Dec. 1. Bring paper copies of the birth certificate, shot record and your driver's license. | https://jecc.taylorschools.net/ | phone_label=For more information; phone2=313-295-5798; phone2_label=School office
Free pre-K at Romulus Early Childhood Center | Romulus Community Schools | kids.prek | Free pre-K (Great Start Readiness Program) for 4-year-olds who qualify. Call to ask about signing up. | 35200 Smith Rd. | Romulus | 48174 | (734) 532-1304 | https://www.romulusk12.org | Call first | 4-year-olds who qualify. | https://recc.romulusk12.org/apps/pages/index.jsp?uREC_ID=3473609&type=d&pREC_ID=2390903 |
Free pre-K at Crowley Center, Lincoln Park | Lincoln Park Public Schools | kids.prek | Free full-day preschool (Great Start Readiness Program) for 4-year-olds who qualify. The page is in English and Spanish. | 2000 Pagel Ave. | Lincoln Park | 48146 | 313-389-0213 | https://www.lincolnparkpublicschools.com | Call first | Children who will be 4 by Sept. 1, 2026. Families must meet two of the State's rules to qualify. | https://crowley.lincolnparkpublicschools.com/apps/pages/index.jsp?uREC_ID=3721514&type=d&pREC_ID=2428715 | flags=spanish
# NOTE: District 7's page prints Madison Early Childhood Center (4950 Madison St) with 313-203-4200 at the top and the GSRP text below it; the class day 8:00-3:05 is left out.
Free pre-K at Madison Early Childhood Center | Dearborn Heights School District 7 | kids.prek | Free pre-K (Great Start Readiness Program) for 4-year-olds. Sign-up starts in August. | 4950 Madison St | Dearborn Heights | 48125 | 313-203-4200 | https://www.district7.net | Call first | 4-year-olds from families with low income who have risks for school trouble. Must live in Wayne County; District 7 families first. | https://www.district7.net/apps/pages/index.jsp?uREC_ID=1571929&type=d&pREC_ID=2522534 |
# BROWSER: Free pre-K at Crestwood Early Childhood Center — site refuses scripts
# NOTE: csdmi.org answers scripts with a 'Client Challenge' page; read 2026-09-24 in a browser. Its age line still says 'age 4 on or before December 1, 2024'.
Free pre-K at Crestwood Early Childhood Center | Crestwood School District | kids.prek | Free pre-K (Great Start Readiness Program) for 4-year-olds who qualify. Monday to Friday. Meals included. | 1045 N. Gulley Rd. | Dearborn Heights | 48127 | 313-278-8427 | https://www.csdmi.org | Call first | Children who are 4 by Dec. 1 and have risk factors. Call to set up an interview. | https://www.csdmi.org/o/ecc/page/great-start-readiness-program-free-4-year-old-preschool |
# NOTE: Redford Union's GSRP page (https://www.redfordu.k12.mi.us/macgowan/redford-union-schools-gsrp/) says 'Classrooms are located at MacGowan Elementary School' and 'please call (313)242-3800', but it now sits under Hilbert Elementary (26440 Puritan), whose page lists 'Pre-K - 6th Grade' and the same 313-242-3800. One call confirms which building.
Pre-K at Redford Union Schools, Hilbert Elementary | Redford Union Schools | kids.prek | State pre-K (Great Start Readiness Program) for 4-year-olds who qualify. Call to ask. | 26440 Puritan | Redford Township | 48239 | 313-242-3800 | https://www.redfordu.k12.mi.us | Call first | Children 4 by Sept. 1. Bring proof of income and a birth certificate; a family interview decides who qualifies, and families with the most needs come first. | https://www.redfordu.k12.mi.us/macgowan/ |
# NOTE: Grosse Pointe: sign-up and paperwork are at Barnes Early Childhood Center; classes are at Ferry Elementary (748 Roslyn Rd.) and Maire Elementary (740 Cadieux Rd.), which print no GSRP phone.
Pre-K sign-up, Grosse Pointe Public Schools | Grosse Pointe Public Schools | kids.prek | State pre-K (Great Start Readiness Program) for 4-year-olds, 4 full days a week. Sign up and drop off papers at Barnes Early Childhood Center; classes are at Ferry and Maire schools. | 20090 Morningside Dr | Grosse Pointe Woods | 48236 | 313-432-3809 | https://www.gpschools.org | Paperwork drop-off 8am-4pm (days not stated) | Children 4 by Sept. 1 (by Dec. 1 if there is room). Low to moderate income, a disability or delay, or foster care gets places first. | https://www.gpschools.org/prospective-families/gsrp |
Pre-K at Ann Visger Preparatory Academy, River Rouge | River Rouge School District | kids.prek | State pre-K (Great Start Readiness Program) for 4-year-olds. Call to ask. | 11121 W. Jefferson Ave. | River Rouge | 48218 | (313) 297-9648 | https://riverrougeschools.org | Call first | 4-year-olds who qualify. | https://www.riverrougeschools.org/schools/ann-visger-elementary-school/gsrp/ | phone_label=Ann Visger GSRP
# NOTE: River Rouge's GSRP page prints 'STEM GSRP - (313) 297-0500'; the STEM Academy's own page (source) prints its address with the same phone.
Pre-K at River Rouge STEM Academy | River Rouge School District | kids.prek | State pre-K (Great Start Readiness Program) for 4-year-olds. Call to ask. | 163 Burke St. | River Rouge | 48218 | (313) 297-0500 | https://riverrougeschools.org | Call first | 4-year-olds who qualify. | https://www.riverrougeschools.org/schools/river-rouge-stem-academy/ | phone_label=STEM GSRP
Free pre-K at Riverview Early Childhood Learning Center | Riverview Community School District | kids.prek | Free pre-K (Great Start Readiness Program) for 4-year-olds, five days a week. | 13249 Pennsylvania | Riverview | 48193 | 734-486-7603 | https://www.riverviewschools.com | Call first | Children 4 by Sept. 1 who qualify at an interview. Sign-ups open about March. | https://eclc.riverviewschools.com/gsrp |
# NOTE: Lathers prints two unlabeled numbers, (734) 762-8490 and (734) 762-8539; the first is used. The GSRP page gives no eligibility text.
Pre-K at Lathers Early Childhood Center, Garden City | Garden City Public Schools | kids.prek | State pre-K (Great Start Readiness Program) for 4-year-olds. Call to ask. | 28351 Marquette | Garden City | 48135 | (734) 762-8490 | https://www.gardencityschools.com | Call first | 4-year-olds who qualify. | https://la.gardencityschools.com/academics/great-start-readiness-program |
Pre-K at Baby Birds Early Childhood Center, Melvindale | Melvindale-Northern Allen Park Public Schools | kids.prek | State pre-K (Great Start Readiness Program) for 4-year-olds, Monday to Thursday. 32 places, then a wait list. | 18530 Prospect St. | Melvindale | 48122 | (313) 203-3605 | https://www.melnapschools.com | Call first | Children born Jan. 1 to Sept. 1, 2022 who qualify (Sept. 2 to Dec. 1, 2022 with a waiver). | https://www.melnapschools.com/schools/baby-birds-early-childhood-center/ |
Pre-K at Beacon Elementary, Harper Woods | Harper Woods School District | kids.prek | State pre-K (Great Start Readiness Program) for 4-year-olds at Beacon Elementary. Call to ask. | 19475 Beaconsfield St. | Harper Woods | 48225 | 313-245-5343 | https://www.hwschools.org | Office 7:45am-3:30pm (days not stated) | 4-year-olds who may face things that make school harder. | https://www.hwschools.org/schools/beacon/ |

# ---- part: part-rec-youth-oak-mac.txt ----
# NOTE: CARE House's contact page says Mon-Thu 8:30am-7pm and Fri 8:30am-4:30pm, but the footer on every page says Mon-Fri 8:30am-5pm, so the hours are left as Call first.
Children's advocacy center, CARE House of Oakland County | CARE House of Oakland County | youth.advocacy | Help for a child after a report of sexual abuse or serious physical abuse: one careful interview with a trained interviewer, and counseling for children, teens and families hurt by abuse. | 44765 Woodward Avenue | Pontiac | 48341 | 248-332-7173 | https://www.carehouse.org/ | Call first | For children in Oakland County. The interview happens after a report to the police or Children's Protective Services. | https://www.carehouse.org/intervention-and-treatment
Children's advocacy center, Care House Macomb County | Care House Macomb County Child Advocacy Center | youth.advocacy | Help for a child after a report of abuse: one careful interview with a trained interviewer, a family advocate, and counseling for the child and safe family members. | 131 Market Street | Mount Clemens | 48043 | 586.463.0123 | https://mccarehouse.org/ | Call first | For children in Macomb County. The interview happens after a report to the police or Children's Protective Services. | https://mccarehouse.org/contact-us/
Children's advocacy center, Kids-TALK Southgate | The Guidance Center | youth.advocacy | Help for a child who has been hurt or abused: one careful interview, an advocate, a medical check and counseling. | 19275 Northline, Building 7 | Southgate | 48195 | 734-785-7716 | https://www.guidance-center.org | Call first | Children through age 17 in Wayne County and their safe family members. The interview and the advocate are free. Medical checks and counseling are given whether or not you can pay. | https://www.guidance-center.org/kids-talk/
# NOTE: the hours are the office hours the City prints for this building; youth open gym (ages 9-18) runs Mon-Fri 3:30-5:30pm during the school year per the City's Teens page.
Beech Woods Recreation Center | City of Southfield Parks & Recreation | rec.center | City recreation center with a big gym and a fitness center. Open gym for ages 9 to 18 on weekday afternoons in the school year, youth basketball, and programs for adults 50 and up. | 22200 Beech Road | Southfield | | (248) 796-4670 | https://www.cityofsouthfield.com/departments/parks-recreation | Mon-Fri 9am-5pm | Youth open gym costs $3 for Southfield residents and $5 for others. Kids 9 to 13 must be signed in by an adult. | https://www.cityofsouthfield.com/departments/parks-recreation/rental-opportunities/beech-woods-rec-center
Metro Detroit Youth Clubs at the Salter Center | Metro Detroit Youth Clubs | youth | After-school club for kids and teens at the Jack & Patti Salter Community Center, plus a Teen Friday night and a summer camp. | 1545 E Lincoln Avenue | Royal Oak | 48067 | (248) 544-4166 | https://miclubs.org/royal-oak/ | School year: Mon-Fri 3:30pm-7:30pm, and Teen Friday 3:30pm-9:30pm. Summer hours differ. Call first. | Ages 6 to 18. The club's own site says a yearly membership is $50. | https://www.romi.gov/Facilities/Facility/Details/Jack-Patti-Salter-Community-Center-5 | flags=youth
Troy Community Center | City of Troy Recreation | rec.center | City community center with a fitness center, two gyms, an indoor pool, and a senior center. Drop-in basketball and pickleball times are posted. | 3179 Livernois | Troy | 48083 | 248.524.3484 | https://rec.troymi.gov/ | Mon-Wed 5am-9pm; Thu-Fri 5am-10pm; Sat 7am-8pm; Sun 8am-6pm | Call or ask at the front desk about passes and fees. | https://rec.troymi.gov/about/hours.php
# NOTE: the only phone on the page that shows this center's address and hours is the City's general line (248) 691-7400; the Recreation Department's own pages (which print (248) 691-7555) refuse scripts and WebFetch.
Oak Park Community Center | City of Oak Park Recreation | rec.center | City community center run by the Oak Park Recreation Department. It is also open every other Friday, 8am to 4pm; call first on Fridays. | 14300 Oak Park Blvd. | Oak Park | 48237 | (248) 691-7400 | https://www.oakparkmi.gov/departments/recreation/index.php | Mon-Thu 8am-8pm | | https://www.oakparkmi.gov/maps/location/communitycenter-recreation | phone_label=City of Oak Park general line
The Hawk, Farmington Hills Community Center | City of Farmington Hills Special Services | rec.center | Big city community center with a pool, gym, fitness center, tennis and pickleball courts, and a track. An after-school program for middle schoolers runs here on school days, 3pm to 5:30pm. | 29995 W 12 Mile Rd | Farmington Hills | 48334 | (248) 699-6700 | https://www.fhgov.com/thehawkfh/ | Mon-Fri 5:30am-9pm; Sat 7am-7pm; Sun 8am-6pm | You need a day pass or a Hawk Pass to use the pool, gym and fitness room. Ask at the front desk. | https://www.fhgov.com/thehawkfh/facility/
Costick Activities Center | City of Farmington Hills Special Services | rec.center | City activities center with a pool, a gym, soccer fields, and the Center for Active Adults (programs for adults 50 and up). | 28600 Eleven Mile Road | Farmington Hills | 48336 | (248) 473-1800 | https://www.fhgov.com/ | Mon-Fri 9am-4pm | | https://www.fhgov.com/activities/parks-facilities/costick-activities-center/
# NOTE: the City prints building hours only for Memorial Day to Labor Day; the office is open Mon-Fri 9am-5pm. Left as Call first for the school year.
Sterling Heights Community Center | City of Sterling Heights Parks & Recreation | rec.center | City community center with two gyms (basketball, pickleball, volleyball), an indoor walking and running track, dance and fitness rooms, a teen room for ages 12 to 17, and a tot room. | 40250 Dodge Park Rd. | Sterling Heights | 48313 | (586) 446-2700 | https://www.sterlingheights.gov/2137/Parks-Recreation | Call first | The indoor track is free for Sterling Heights residents with ID and $5 for others. Kids 12 and under need a parent with them for drop-in times. Teens 13 to 17 without an adult must sign up for the Teen Passport program in person with a parent. | https://www.sterlingheights.gov/1736/Community-Center
St. Clair Shores Civic Ice Arena and Parks & Recreation office | City of St. Clair Shores Parks & Recreation | rec.center | The City's ice arena. The Parks & Recreation office is inside: sign up here for youth and adult sports, classes, and pool passes. | 20000 Stephens | St. Clair Shores | 48080 | 586-445-5350 | https://www.scsmi.net/303/Parks-Recreation | Mon-Sun 8:30am-9pm | From June to August the hours are Mon-Fri 8:30am-9pm and Sat 8:30am-4pm. | https://www.scsmi.net/303/Parks-Recreation
Help paying for kids' recreation, Madison Heights | City of Madison Heights Recreation Department | youth | Money off the sign-up fee for kids' recreation activities: 50% or 25% off, based on household income and size. Each child can get help with two activities a year. Apply in person at the DPS office. | 801 Ajax Drive | Madison Heights | 48071 | 248-589-2294 | https://www.madison-heights.org/302/Recreation | Call first | Madison Heights residents only. Bring proof that you live in Madison Heights and proof of income (like a W-2, 1099 or layoff notice). Limited help, first come, first served. | https://www.madison-heights.org/843/Recreation-Financial-Assistance | flags=youth,residents_only
Auburn Hills Community Center | City of Auburn Hills Recreation | rec.center | City community center with a gym, a fitness room, and a makers' studio. Open gym times for basketball, pickleball and badminton. Programs for all ages, from kids to seniors. | 3350 E. Seyburn Drive | Auburn Hills | 48326 | 248-370-9353 | https://www.auburnhills.org/departments/recreation/ | Call first | The fitness room is free for Auburn Hills residents 18 and up with a free Community Center Card (bring a Michigan ID with your Auburn Hills address). Teens 13 to 17 who live in Auburn Hills can use it too, once a parent signs them up. Open gym costs $3 for residents and $5 for others. Kids 12 and under cannot use the fitness room. | https://www.auburnhills.org/departments/recreation/
# NOTE: RARA (Rochester Avon Recreation Authority) serves the City of Rochester and Rochester Hills. Its scholarship page says it pays up to 90% of a program fee, up to $1000 per family per year.
RARA recreation center, Rochester | Rochester Avon Recreation Authority | rec.center | Recreation center for Rochester and Rochester Hills with an indoor turf fieldhouse, dance rooms, an indoor playscape, and a gym. Sports, camps, classes, teen events, and programs for people with disabilities. | 500 E Second Street | Rochester | 48307 | 947.886.0007 | https://rararecreation.org/ | Mon-Fri 10am-8pm; Sat 9am-3pm; Sun 9am-3pm | Programs cost money, but RARA has scholarships that can pay up to 90% of a program fee for residents who qualify. You bring papers that show your income. | https://rararecreation.org/how_do_i/visit/front_office.php
Novi Youth Assistance | Novi Youth Assistance | youth | Confidential, short-term help from a caseworker for young people and their families, plus referrals, mentoring with an adult volunteer, parenting classes, and scholarships for kids. | 24062 Taft Road | Novi | 48375 | (248) 675-2811 | https://ecec.novi.k12.mi.us/programs/novi-youth-assistance | Call first | For young people and families in the Novi community. | https://ecec.novi.k12.mi.us/programs/novi-youth-assistance | flags=youth,families
Troy Youth Assistance | Troy Youth Assistance | youth | Confidential, short-term help from a caseworker for kids and their families, plus referrals, parenting programs, and camp and skill-building scholarships. Parents, schools and police can make a referral. | 4420 Livernois Road | Troy | 48098 | 248-823-5095 | https://troyyouthassistance.org/ | Mon-Fri 9am-5pm | Youth 17 and under, and their families, who live in Troy or go to Troy schools. | https://troyyouthassistance.org/contact.html | flags=youth,families; phone2=248-823-5203; phone2_label=Caseworker appointments
Oak Park Youth Assistance | Oak Park Youth Assistance | youth | Free, confidential, short-term help from a social worker for kids and families: counseling, behavior plans, and referrals. Anyone can make a referral, for a child in trouble or a change in a child's behavior that worries you. | 22180 Parklawn St | Oak Park | 48237 | (248) 366-7679 | https://oakparkya.org/ | By appointment. Call first. | For youth and families who live inside the Oak Park School District. | https://www.oakparkya.org/ | flags=youth,families,appointment_required
Pontiac Youth Assistance | Pontiac Youth Assistance | youth | Free, confidential help from a caseworker for kids and their families, plus camp, mentoring, skill-building and parenting programs. Schools, police, neighbors or parents can make a referral. The office is on the upper level of the Whitmer Human Resource Center. | 60 Parkhurst Street | Pontiac | 48342 | 248-451-7549 | https://www.pontiacyouthassistance.org/ | Mon-Fri 8:30am-5pm | For kids and families who live in or go to school in the Pontiac School District. | https://www.pontiacyouthassistance.org/contact | flags=youth,families
Waterford Youth Assistance | Waterford Youth Assistance | youth | Free, confidential help from a caseworker for kids and families, plus family classes and workshops, and camp and activity scholarships for families who need help paying. | 1150 Scott Lake Road | Waterford Township | 48328 | 248.618.7383 | https://www.waterfordya.com/ | Call first | For Waterford families. | https://www.waterfordya.com/ | flags=youth,families
Royal Oak Youth Assistance | Royal Oak Youth Assistance | youth | Confidential, short-term counseling and referrals from a caseworker for kids and teens and their families. Schools, police, parents and others can make a referral. | 1601 N. Campbell Rd | Royal Oak | 48067 | (248) 546-8282 | https://www.royaloakyouthassistance.com/ | Call first | Youth 17 and under who live in Royal Oak. | https://www.royaloakyouthassistance.com/ | flags=youth,families
Birmingham Youth Assistance | Birmingham Youth Assistance | youth | Help from a caseworker for kids and families, plus camp scholarships and parent education. Closed when Birmingham Public Schools are closed. | 2436 West Lincoln | Birmingham | 48009 | (248) 203-4300 | https://www.birminghamyouthassistance.org/ | Call first | For families in Birmingham, Beverly Hills, Bingham Farms and Franklin. | https://www.birminghamyouthassistance.org/ | flags=youth,families
Farmington Youth Assistance | Farmington Youth Assistance | youth | Confidential, short-term counseling and referrals from a caseworker for students and their families. The office is in the Maxfield Education Center, Suite 10-B. | 32789 W 10 Mile | Farmington | 48336 | 248-489-3434 | https://www.farmingtonyouthassistance.org/ | Mon-Thu 9am-3pm | Students under 17 who live in the Farmington Public School District. Other times by appointment. | https://www.farmingtonyouthassistance.org/ | flags=youth,families
# NOTE: the address prints as Lake Orion; 455 E Scripps Rd (the Lake Orion Community Schools CERC building) is in Orion Township, north of the Village. A steward may want to confirm on the map.
Orion Area Youth Assistance | Orion Area Youth Assistance | youth | Casework help for kids and families, plus prevention programs and scholarships. The office is in the CERC Building, Room 103. | 455 East Scripps Rd. | Orion Township | 48360 | (248) 693-6878 | https://www.lakeorionyouthassistance.com/ | Call first | Kids ages 5 to 17 and their families who live in the Lake Orion Community School district. | https://www.lakeorionyouthassistance.com/ | flags=youth,families
Macomb Township Recreation Center | Macomb Township Parks and Recreation | rec.center | Big recreation center with a fitness center, two gyms, an indoor playground, pools with a lazy river and water slide, and a hot tub. | 20699 Macomb Street | Macomb Township | 48042 | 586-992-2900 | https://www.macomb-mi.gov/204/Parks-Recreation-Department | Mon-Fri 6am-9pm; Sat 8am-5pm; Sun 10am-5pm | You need a membership or a day pass to get in: $8 a day for Macomb Township residents, $16 for others. Bring ID. Kids 10 and under need a parent with them at all times. | https://www.macomb-mi.gov/366/Recreation-Center
Center Line Parks & Recreation game room | City of Center Line Parks & Recreation | rec.center | Game room in the Parks & Recreation building at Memorial Park, with ping pong, air hockey, foosball, shuffleboard, board games and pool tables. Kids and teens 10 to 17 can come from 3pm to close. | 25355 Lawrence | Center Line | 48015 | 586-757-1610 | https://www.centerline.gov/203/Parks-Recreation-Department | Mon-Fri 9am-5pm | Ages 10 to 17 from 3pm. You must be 18 to use the pool tables. | https://www.centerline.gov/206/Game-Room
# NOTE: the building stays open past 4pm on weekdays and some weekend hours, but the closing time changes each day; the schedule is the main office's hours.
Recreation Authority Center, Roseville | Recreation Authority of Roseville & Eastpointe | rec.center | Recreation center for Roseville and Eastpointe with a gym, a fitness center, and programs for kids, teens, adults and seniors. The fitness center is open Mon-Fri 8:30am-8pm and Sat-Sun 9am-6pm. | 18185 Sycamore | Roseville | 48066 | (586) 445-5480 | https://rare-mi.org/ | Mon-Fri 8:30am-4pm | Fitness center yearly membership: $50 for residents 14 to 54, $30 for residents 55 and up, $150 for others. Teens 14 to 17 need a parent with a paid membership. Kids under 18 in Roseville or Eastpointe who need help paying can apply for an activity scholarship. | https://rare-mi.org/about/location_hours.php | phone2=(586) 777-7177; phone2_label=Senior activities office
# NOTE: this page prints no direct Community Center phone; the number is Chesterfield Township's main line.
Chesterfield Community Center | Chesterfield Township Parks, Recreation, and Senior Services | rec.center | Township community center with a gym, art room and classrooms. Youth summer camp, youth and community theater, adult fitness classes, art classes for all ages, and a youth play room. | 48400 Sugarbush Road | Chesterfield Township | 48047 | 586-949-0400 | https://www.chesterfieldtwp.org/207/Parks-Recreation-and-Senior-Services | Call first | | https://www.chesterfieldtwp.org/566/Chesterfield-Community-Center | phone_label=Chesterfield Township main line
Boys & Girls Club, Eastpointe | Boys & Girls Clubs of Greater Detroit | youth | After-school club for kids and teens, plus a summer day program. | 15320 E. 9 Mile | Eastpointe | 48021 | 248-852-2107 | https://bgcsm.org/ | School year 2pm-6pm; summer 7:30am-6pm. Call first. | | https://bgcsm.org/locations/ | flags=youth
Gillham Recreation Center | City of Huntington Woods Parks and Recreation | rec.center | City recreation center with a gym, a pool, tennis and pickleball courts, an after-school latchkey program, a teen council, and programs for adults 60 and up. | 26325 Scotia | Huntington Woods | 48070 | 248.541.3030 | https://www.hwmi.org/departments/parks_and_recreation/index.php | Mon-Thu 8:30am-9pm; Fri 8:30am-6pm; Sat 9am-3pm; Sun 9am-3pm | | https://www.hwmi.org/departments/parks_and_recreation/index.php
Pleasant Ridge Community Center | City of Pleasant Ridge Recreation Department | rec.center | City community center with classes like yoga, dance and Zumba, a wellness center, an outdoor pool, and events like bingo and dinners for adults 50 and up. | 4 Ridge Road | Pleasant Ridge | 48069 | (248) 541-2902 | https://www.cityofpleasantridge.org/recreation/ | Call first | | https://www.cityofpleasantridge.org/recreation/community-center/
Hazel Park Recreation Department | City of Hazel Park Recreation | rec.center | The City's recreation office. Sign up for programs here, and reserve the community center or a park pavilion in person. | 620 W. Woodward Heights | Hazel Park | 48030 | (248)-547-5535 | https://www.hazelpark.org/i_want_to/parks_and_recreation_department.php | Call first | | https://www.hazelpark.org/i_want_to/parks_and_recreation_department.php
Hunter Community Center | City of Clawson Recreation & Senior Services | rec.center | City community center with a fitness center and classes for kids, adults and seniors, like yoga and fitness. The fitness center is open Mon-Fri 7:30am-7:30pm for $8 a month. | 509 Fisher Ct. | Clawson | 48017 | (248) 589-0334 | https://www.cityofclawson.com/your_government/parks_and_recreation/index.php | Mon-Fri 8am-7pm | No special membership is needed for programs. They are for Clawson residents and people from nearby towns. | https://www.cityofclawson.com/your_government/parks_and_recreation/index.php
# BROWSER: Metro Detroit Youth Clubs, 'field Zone Club, Southfield — site refuses scripts (read with WebFetch on 2026-09-24). The page prints the phone as (888) MI-CLUBS; the digits here are that word spelled on a phone keypad.
Metro Detroit Youth Clubs, 'field Zone Club, Southfield | Metro Detroit Youth Clubs | youth | After-school club for middle and high school students: sports and fitness, cooking, tutoring, college and career tours, mentoring, and the arts. It is at the Southfield Parks & Recreation building. | 26000 Evergreen Rd | Southfield | 48076 | 888-642-5827 | https://miclubs.org/ | School year: Mon-Fri 2:30pm-7pm. Summer hours differ. Call first. | Grades 6 to 12. A yearly membership is $50. | https://miclubs.org/southfield/ | flags=youth; phone_label=Printed as (888) MI-CLUBS
West Bloomfield Youth Assistance | West Bloomfield Youth Assistance | youth | Free, confidential, short-term counseling and referrals for young people and their families, for things like family conflict, skipping school, or trouble at home or school. Schools, police, neighbors or parents can make a referral. | 4925 Orchard Lake Road | West Bloomfield Township | 48323 | (248) 592-1278 | https://wbyouthassistance.org/ | Call first | Youth 17 and under and their families who live in Keego Harbor, Orchard Lake Village, or West Bloomfield Township. Casework is free. | https://wbyouthassistance.org/caseworker-services | flags=youth,families
Berkley Community Center | City of Berkley Parks & Recreation | rec.center | City community center, home of the Parks & Recreation Department and the Senior Center. Sports, fitness programs, day camps for kids in summer and winter break, and programs for adults 55 and up. | 2400 Robina | Berkley | 48072 | (248) 658-3470 | https://www.berkleymi.gov/ | Call first | | https://www.berkleymi.gov/Government/City%20Departments/Parks%20-%20Recreation

# ---- part: part-rec-youth-wayne.txt ----
Kirksey Recreation Center, Livonia | City of Livonia Parks and Recreation | rec.center | City recreation center with pools, gyms, a climbing wall, fitness rooms, and classes for kids and adults. | 15100 Hubbard | Livonia | | (734) 466-2900 | https://www.ci.livonia.mi.us/1973/About-Us | Mon-Fri 5am-10pm; Sat 6am-7pm; Sun 7am-7pm | You need a membership, or sign up for a class and check in at the kiosk. Livonia kids 17 and under can ask for a scholarship that pays most of a program fee. | https://www.ci.livonia.mi.us/228/Kirksey-Recreation-Center
